а,a
б,b
в,v
г,g
д,d
е,e
ё,ë 
ж,zh
з,z
и,i
і ,ī 
й,ĭ 
к,k
л,l
м,m
н,n
о,o
п,p
р,r
с,s
т,t
у,u
ф,f
х,kh
ц,t͡s
ч,ch
ш,sh
щ,shch
ъ,""""
ы,y
ь,'
ѣ,i͡e
э ,ė
ю ,i͡u
я ,i͡a
ѳ ,ḟ
ѵ ,ẏ
є,ē
ѥ,i͡e
ѕ,ż
ꙋ,–
ѡ,ō
ѿ,ō͡t
ѫ,ǫ
ѧ,ę
ѭ,i͡ǫ
ѩ,i͡ę
ѯ,k͡s
ѱ,p͡s
А,A
Б,B
В,V
Г,G
Д,D
Е,E
Ё,Ë
Ж,Zh
З,Z
И,I
І ,Ī
Й,Ĭ
К,K
Л,L
М,M
Н,N
О,O
П,P
Р,R
С,S
Т,T
У,U
Ф,F
Х,Kh
Ц,T͡S
Ч,Ch
Ш,Sh
Щ,Shch
Ъ,""""
Ы,Y
Ь,'
Ѣ,I͡e
Э,Ė
Ю,I͡u
Я,I͡a
Ѳ,Ḟ
Ѵ ,Ẏ
Є,Ē
Ѥ,I͡e
Ѕ,Ż
Ꙋ,-
Ѡ,Ō
Ѿ,Ō͡t
Ѫ,Ǫ
Ѧ,Ę
Ѭ,I͡ǫ
Ѩ,I͡ę
Ѯ,K͡s
Ѱ,P͡s
